Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal
2,46,Different Colours Of Entrepreneurship,300,ZSportsTech,Sports,Cricket Sport Shop,Middle,Mumbai,Maharashtra,31,,,60,2,3000,0,,,,,
2,46,Different Colours Of Entrepreneurship,301,ThePlatedProject,Services,Decor Plates & Dinnerware,Middle,Mumbai,Maharashtra,,,,75,2,3750,1,1,75,3.75,2000,3
2,46,Different Colours Of Entrepreneurship,302,VsnapU,Services,Professional Photography service,Middle,Goa,Goa,,15,,50,1.5,3333.333333,0,,,,,
2,46,Different Colours Of Entrepreneurship,303,TheHealthyFactory,Food,Protein bread,Young,Mumbai,Maharashtra,-1,,56,75,2.1,3571.428571,0,,,,,
2,47,Tunnel Se Tank Tak Ka Safar,304,Brevistay,Services,Booking hotels for hours,Young,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",,42,,100,1.66,6024.096386,0,,,,,
2,47,Tunnel Se Tank Tak Ka Safar,305,SoulUp,Services,Real Conversations Real People,Middle,Bangalore,Karnataka,,,,50,3,1666.666667,1,1,50,5,1000,1
2,47,Tunnel Se Tank Tak Ka Safar,306,TheBigBookBox - ChapterOneBooks,Furnishing/Household,New paperback and hardcover books,Middle,Gopalganj,Bihar,140,,,50,8,625,0,,,,,
2,48,"Pitchers, Investments And Businesses",307,Rubans,Beauty/Fashion,Artificial Jewellery Set Online,Middle,Bangalore,Karnataka,5100,,,150,0.5,30000,1,1,100,1,10000,3
2,48,"Pitchers, Investments And Businesses",308,SameNotification,Technology/Software,parental monitoring app,Middle,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",,,,25,15,166.6666667,0,,,,,
2,48,"Pitchers, Investments And Businesses",309,BottomLineSprays,Furnishing/Household,portable jet spray,Middle,Ahmedabad,Gujarat,,2,,35,5,700,0,,,,,
2,48,"Pitchers, Investments And Businesses",310,LilGoodness,Food,Healthy Snacks,Middle,Bangalore,Karnataka,-1,145,65,100,1,10000,1,1,50,1,5000,1
2,49,Businesses Adding Value To Society,311,ForeverModest,Beauty/Fashion,premium Muslim women's clothing,Young,Aurangabad,Maharashtra,,4.2,,20,10,200,1,1,20,20,100,4
2,49,Businesses Adding Value To Society,312,Sahayatha,Medical/Health,smart wheelchair with an assistive cleansing device,Young,Coimbatore,Tamil Nadu,,,,100,10,1000,1,1,100,10,1000,5
2,49,Businesses Adding Value To Society,313,WickedGud,Food,High Protein & Fiber Gluten Free Vegan food,Middle,Mumbai,Maharashtra,-1,,,50,1,5000,0,,,,,
2,49,Businesses Adding Value To Society,314,maisha,Beauty/Fashion,Handmade Cotton & Jacquard Bags,Middle,Ahmedabad,Gujarat,,,,75,3,2500,1,1,10,1,1000,1
2,50,Season Finale With The Sharks,315,NishHair,Beauty/Fashion,100% Human Hair Extensions,Middle,Mumbai,Maharashtra,670,80,,100,2,5000,1,1,100,2,5000,1
2,50,Season Finale With The Sharks,316,MYBYK,Vehicles/Electrical Vehicles,IoT-enabled bikes,Middle,Ahmedabad,Gujarat,-1,,,200,1,20000,0,,,,,
2,51,Gateway To Shark Tank India,317,GODESi,Food,Handmade lollipops,Middle,Bangalore,Karnataka,-1,270,,90,0.5,18000,1,0,,,,
